Protocol,nFlows,Delay(ms),Goodput(Mbps)
TcpCubic,1,50,0.759084
TcpCubic,1,100,0.520202
TcpCubic,1,150,0.572109
TcpCubic,1,200,0.459493
TcpCubic,1,250,0.394045
TcpCubic,1,300,0.547736
TcpCubic,2,50,0.894387
TcpCubic,2,100,0.842705
TcpCubic,2,150,0.811301
TcpCubic,2,200,0.639461
TcpCubic,2,250,0.651318
TcpCubic,2,300,0.525834
TcpCubic,4,50,0.877009
TcpCubic,4,100,0.874526
TcpCubic,4,150,0.866658
TcpCubic,4,200,0.776579
TcpCubic,4,250,0.753108
TcpCubic,4,300,0.766986
TcpNewReno,1,50,0.462878
TcpNewReno,1,100,0.30016
TcpNewReno,1,150,0.214174
TcpNewReno,1,200,0.204696
TcpNewReno,1,250,0.137667
TcpNewReno,1,300,0.0950131
TcpNewReno,2,50,0.732797
TcpNewReno,2,100,0.51614
TcpNewReno,2,150,0.435796
TcpNewReno,2,200,0.401718
TcpNewReno,2,250,0.4288
TcpNewReno,2,300,0.37757
TcpNewReno,4,50,0.892807
TcpNewReno,4,100,0.831195
TcpNewReno,4,150,0.652679
TcpNewReno,4,200,0.590841
TcpNewReno,4,250,0.523813
TcpNewReno,4,300,0.444372
